id,date,amount_nok,counterparty,description,currency
t-00025,2026-06-01,-10567.99,Power AS,Datautstyr,NOK
t-00052,2026-06-01,-84200.0,NORDIC FACADE SOLUTIONS AS,Faktura 2026-1142,NOK
t-00038,2026-06-02,-2345.78,VIPPS LARS HANSEN,Vipps,NOK
t-00010,2026-06-03,-18500.0,Bjørvika Eiendom AS,Husleie kontor,NOK
t-00023,2026-06-03,-3999.87,Scandic Hotels,Hotellovernatting,NOK
t-00012,2026-06-04,-41958.27,Skatteetaten,Forskuddstrekk,NOK
t-00030,2026-06-04,-5518.98,Meta Platforms Inc,Facebook Ads,NOK
t-00005,2026-06-05,-440.0,GitHub Inc,GitHub Team,NOK
t-00016,2026-06-05,-46000.0,INGRID HANSEN,Lønn,NOK
t-00026,2026-06-05,-24008.04,Advokatfirma Selmer,Advokattjenester,NOK
t-00032,2026-06-05,-179.75,DNB Bank,Kortgebyr,NOK
t-00035,2026-06-05,-248.12,Bolt / Uber,Taxi,NOK
t-00049,2026-06-06,-1240.0,VIPPS LARS HANSEN,Vipps,NOK
t-00053,2026-06-06,-89.0,ICA NÆR,REF 81234,NOK
t-00013,2026-06-07,-9952.39,Skatteetaten,Arbeidsgiveravgift,NOK
t-00039,2026-06-07,-323.83,VIPPS ANNE BERG,Vipps,NOK
t-00002,2026-06-08,-2243.91,Fjordkraft AS,Strøm,NOK
t-00003,2026-06-09,-699.0,Get / Telia Norge AS,Internett,NOK
t-00015,2026-06-09,-38500.0,OLA NORDMANN,Lønn,NOK
t-00027,2026-06-09,-145.28,Espresso House,Kaffe,NOK
t-00017,2026-06-12,39140.74,Norconsult AS,Faktura 42018,NOK
t-00036,2026-06-12,-15742.92,Apple Store,MacBook,NOK
t-00004,2026-06-13,-820.0,Slack Technologies,Subscription,NOK
t-00029,2026-06-14,-1628.89,Olivia Restaurant,Kundemiddag,NOK
t-00043,2026-06-14,-549.0,SATS Norge AS,Treningssenter,NOK
t-00051,2026-06-14,-5000.0,MINIBANK DNB,Kontantuttak,NOK
t-00007,2026-06-15,-3537.98,Amazon Web Services,AWS,NOK
t-00028,2026-06-15,-2465.54,Norwegian Air Shuttle,Flyreise,NOK
t-00021,2026-06-16,-5670.26,LinkedIn Corporation,LinkedIn Ads,NOK
t-00014,2026-06-17,-42000.0,KARI NORDMANN,Lønn,NOK
t-00019,2026-06-17,32680.27,Norconsult AS,Faktura 95717,NOK
t-00034,2026-06-18,-8159.77,Google Ads,Annonsering,NOK
t-00011,2026-06-20,-12307.41,Skatteetaten,MVA innbetaling,NOK
t-00044,2026-06-20,-149.0,NETFLIX,Subscription,NOK
t-00001,2026-06-22,-749.0,Telenor Norge AS,Mobilabonnement,NOK
t-00006,2026-06-22,-180.0,Figma Inc,Figma Pro,NOK
t-00040,2026-06-22,-4046.2,MINIBANK SPAREBANK 1,Kontantuttak,NOK
t-00018,2026-06-23,21785.92,Norconsult AS,Faktura 81200,NOK
t-00054,2026-06-24,50000.0,OVERFØRING FRA KONTO 1234.56.78901,Egen konto,NOK
t-00008,2026-06-25,-1352.94,Tibber AS,Strøm,NOK
t-00041,2026-06-25,-396.54,REMA 1000,Dagligvarer,NOK
t-00037,2026-06-26,-222.32,Starbucks,Kaffe,NOK
t-00047,2026-06-26,-3456.26,AIRBNB,Lodging,NOK
t-00048,2026-06-26,-680.0,VIPPS LARS HANSEN,Vipps,NOK
t-00024,2026-06-27,-1998.86,Comfort Hotel Oslo,Hotell,NOK
t-00033,2026-06-27,-43097.15,PwC Norge,Konsulent,NOK
t-00020,2026-06-28,-6868.73,SAS,Flyreise,NOK
t-00042,2026-06-28,-795.09,MENY,Dagligvarer,NOK
t-00046,2026-06-28,-16906.14,TRANSFERWISE / WISE,International transfer,NOK
t-00031,2026-06-29,-633.42,Vy Tog AS,Togbillett,NOK
t-00050,2026-06-29,-340.0,STRIPE TECHNOLOGY EU,Subscription EUR,EUR
t-00009,2026-06-30,-2400.0,Storebrand Forsikring,Bedriftsforsikring,NOK
t-00022,2026-06-30,-7321.98,Elkjøp,Elektronikk,NOK
t-00045,2026-06-30,-524.76,SAMSON BAKERI,Bakeri,NOK
t-00055,2026-06-30,-25000.0,OVERFØRING KARI NORDMANN,Privat,NOK
